label,sentence,syntax
LF,The user interface shall have standard menus buttons for navigation,user interface shall have standard menus buttons for navigation 
LF,The system shall have a professional appearance,system shall have professional appearance 
LF,The product shall have a consistent color scheme and fonts.,product shall have consistent color scheme fonts 
US,The system shall be used by realtors with no training.,system shall be used by realtors with training 
US,The system shall be intuitive and self explanatory.,system shall be intuitive self explanatory 
US,The product shall be easy for a realtor to learn.,product shall be easy for realtor learn 
US,The product shall use symbols and words that are naturally understandable by the realtor community.,product shall use symbols words are naturally understandable by realtor community 
PE,The product shall produce search results in an acceptable time,product shall produce search results in acceptable time 
PE,The search results shall be returned no later 30 seconds after the user has entered the search criteria,search results shall be returned later seconds after user has entered search criteria 
PE,The product shall generate a CMA report in an acceptable time.,product shall generate CMA report in acceptable time 
PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,CMA report shall be returned later seconds after user has entered CMA report criteria 
PE,The product shall synchronize contacts and appointments in an acceptable time.,product shall synchronize contacts appointments in acceptable time 
PE,The product shall synchronize with the office system every hour.,product shall synchronize with office system hour 
A,The product shall be available for use 24 hours per day 365 days per year,product shall be available for use hours per day days per year 
A,Out of 1000 accesses to the system the system is available 999 times.,Out of accesses system system is available times 
SC,The product shall be able to support multiple remote users,product shall be able support multiple remote users 
SC,The product shall be able support 1000 simultaneous users.,product shall be able support simultaneous users 
SC,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,product shall be capable of handling existing users number is expected grow times within next year 
US,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,product shall be installed by untrained realtor without recourse separately-printed instructions 
US,90% of untrained realtors shall be able to install the product on their device without printed instructions,% of untrained realtors shall be able install product on device without printed instructions 
SE,Only registered realtors shall be able to access the system.,Only registered realtors shall be able access system 
SE,Every user of the system shall be authenticated and authorized.,user of system shall be authenticated authorized 
SE,The product shall prevent its data from incorrect data being introduced.,product shall prevent data from incorrect data being introduced 
F,The system shall allow a real estate agent to query MLS information,system shall allow real estate agent query MLS information 
F,The user shall be able to get driving directions to a selected property,user shall be able get driving directions selected property 
F,The user shall be able to download appointments and contact information for clients,user shall be able download appointments contact information for clients 
F,The system shall display clear property images in the search results,system shall display clear property images in search results 
F,The system shall update or create new property listings in the MLS,system shall update create new property listings in MLS 
F,Realtor shall be able to generate a CMA report based on property criteria,Realtor shall be able generate CMA report based on property criteria 
F,The system shall be able to call the seller or buyer to schedule an appointment,system shall be able call seller buyer schedule appointment 
F,The realtor shall be notified of new client appointments after automatic synchronization with office system,realtor shall be notified of new client appointments after automatic synchronization with office system 
F,The realtor shall be able to retrieve a map showing property locations for a specified area,realtor shall be able retrieve map showing property locations for specified area 
F,The system shall notify the realtor when a seller or buyer responds to an appointment request,system shall notify realtor seller buyer responds appointment request 
F,The product shall allow the user to save the property search results.,product shall allow user save property search results 
US,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,system shall be easy use by Program Administrators/Nursing Staff Members 
US,All of the users shall be able to use the system after one day of training.,of users shall be able use system after day of training 
US,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,system shall help user avoid making mistakes while scheduling classes clinicals for nursing students 
US,The number of mistakes noted by the students shall be decreased by 50% in the first year.,number of mistakes noted by students shall be decreased by % in first year 
US,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,system shall be intuitive Program Administrators/Nursing Staff Members 
US,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,out of Program Administrators/Nursing Staff Members shall successfully be able use system manage scheduling of classes clinicals 
US,The system shall use symbols and words that are naturally understandable by the user community.,system shall use symbols words are naturally understandable by user community 
US,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,verbiage used within system shall be consistent with Standard English terminology of national Nursing Community 
PE,Staff members shall be able to complete a set of tasks in a timely manner.,Staff members shall be able complete set of tasks in timely manner 
PE,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,response time of general student management tasks shall take no longer than seconds response time of schedule generation shall take no longer than seconds 
A,The system shall be available for use between the hours of 8am and 6pm.,system shall be available for use between hours of 
A,The system shall achieve 95% up time.,system shall achieve % up time 
SC,system shall be able to handle all of the user requests/usage during business hours.,system shall be able handle of user requests/usage during business hours 
SC,The system shall cater to 10 simultaneous users from 9am to 5pm.,system shall cater simultaneous users from 
SC,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,system shall be capable of processing % of nursing students classes for next years 
SC,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,system shall be expected manage nursing program curriculum class/clinical scheduling for minimum of years 
SE,Only authorized users shall have access to clinical site information.,Only authorized users shall have access clinical site information 
SE,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,Program Administrators/Nursing Staff Members are only people who shall have access clinical site details 
SE,Only authorized users shall have access to students’ personal information.,Only authorized users shall have access students ’ personal information 
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information.,Dr Susan Poslusny Dr Julie Donalek are only people who shall have access students ’ personal information 
SE,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,Only authorized users shall have access portion of system interfaces with CampusConnect 
SE,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,Fit Criterion Dr Susan Poslusny Karen Sysol are only people who shall have access final class section scheduling for system interfaces with CampusConnect 
SE,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,system shall have basic data integrity checking reduce possibility of incorrect invalid data being introduced 
SE,The system shall protect private information in accordance with the organization’s information policy.,system shall protect private information in accordance with organization ’ s information policy 
SE,The system shall be built such that it is as secure as possible from malicious interference.,system shall be built such that is as secure as possible from malicious interference 
SE,The system shall use the organization’s standard virus protection software to help monitor threats to itself.,system shall use organization ’ s standard virus protection software help monitor threats 
F,A cohort shall be associated to one Program of Study offered by the department.,cohort shall be associated Program of Study offered by department 
F,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,Program Administrators Nursing Staff Members shall be able add listing of students cohort 
F,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,Program Administrators Nursing Staff Members shall be able add single student cohort 
F,Students added to a cohort shall be eligible for the cohort’s Program of Study.,Students added cohort shall be eligible for cohort ’ s Program of Study 
F,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,Program Administrators Nursing Staff Members shall be able specify preferred sequence of classes for given cohort 
F,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,For class within sequence for cohort Program Administrators Nursing Staff Members shall be able specify quarter that class will be offered 
F,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,For class within sequence for cohort Program Administrators Nursing Staff Members shall be able specify quarter that class will be offered 
F,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,Program Administrators Nursing Staff Members shall be able add new classes sequence of classes 
F,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,Program Administrators Nursing Staff Members shall be able add clinical classes sections sequence of classes 
F,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,Program Administrators Nursing Staff Members shall be able add new cohort system identified by start month year 
F,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,Program Administrators Nursing Staff Members shall be able add new classes for nursing department into system 
F,A class shall be either a non-clinical class or a clinical class.,class shall be non-clinical class clinical class 
F,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,non-clinical class shall specify course name lecture room requirements instructor needs 
F,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,clinical class shall specify course name lecture room requirements clinical site needs lecture instructor needs clinical lab instructor needs 
F,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,Program Administrators/Nursing Staff Members shall be able create new Program of Study 
F,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,Program of Study shall consist of program name listing of required classes clinical non-clinical must be completed 
F,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,Program Administrators Nursing Staff Members shall have ability specify classes are required for Program of Study 
F,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members’ planning purposes.,system shall be able display report of needed classes for given quarter for cohorts of programs for Program Administrators/Nursing Staff Members ’ planning purposes 
F,The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,report of needed classes shall include not be limited classes be offered number of sections needed number of labs needed room types needed 
F,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,Classes for given cohort shall not conflict with regards time day that are offered 
F,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,Program Administrators Nursing Staff Members shall be able add new clinical site into system 
F,Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.,Clinical site information shall include not be limited name of site contact person contact information 
F,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,Program Administrators Nursing Staff Members shall be able add new clinical lab section for existing clinical class into System 
F,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,clinical lab section shall include clinical site name class instructor day time of lab 
F,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,Program Administrators Nursing Staff Members shall be able add student who has registered for clinical class clinical lab section for class 
F,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,system shall allow Program Administrator Nursing staff member remove student from clinical lab section 
F,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,system shall allow Program Administrator/Nursing Staff Member move student from clinical lab section clinical lab section corresponding same clinical class 
F,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,Program Administrators/Nursing Staff Members shall be able cancel clinical lab section only if are students registered for clinical lab section 
F,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,Program Administrator/Nursing Staff Member shall be able add new nursing student system 
F,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,staff member shall have ability manage progress of part time student includes modifying sequence of classes timeline of classes 
F,The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,system shall be able display printable summary for individual cohorts will include students enlisted Program of study sequence of classes cohort progress through program timeline of completion 
F,The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,system shall be able display printable summary for individual clinical sites will include information on labs being held at site for given quarter Clinical site general information on labs held at location dates times of labs held there 
F,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,system shall be able display printable summary for individual clinical labs will include not be limited class name class number lab section listing of students enrolled instructor day time location 
F,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,system shall be able display printable summary for individual nursing students will include not be limited student name student ID admission date classes credits GPA cohort that student is enrolled in 
F,The system shall be able to display a printable summary of the system log.,system shall be able display printable summary of system log 
F,The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,system shall contain contact information e-mail phone number for people relevant system including not limited staff members students lecture instructors clinical lab instructors clinical site administrators 
F,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,system will use stored e-mail addresses as primary means of communicating information affected parties 
F,The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,system will notify affected parties for routine communication purposes including not limited informing students of upcoming offered classes timeline what schedule will be/shall be 
F,The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,system will notify affected parties changes occur affecting clinicals including not limited clinical section capacity changes clinical section cancellations 
F,The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,system will notify affected parties changes occur affecting classes including not limited class cancellations class section detail changes changes class offerings for given quarter 
F,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort’s program of study and changes to a given week’s schedule (lab cancelled this week due to instructor illness).,system will notify affected parties changes occur affecting cohorts including not limited changes sequence for cohort ’ s program of study changes given week ’ s schedule lab cancelled week due instructor illness 
F,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student’s status from full time to part time and moving a student to a different clinical section.,system will notify affected parties changes occur affecting specific students including not limited changing student ’ s status from full time part time moving student different clinical section 
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,Program Administrators/Nursing Staff Members shall have ability modify information relating cohorts including cohort identifier program of study preferred sequence of classes quarters that cohort will be taking specific classes 
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,Program Administrators/Nursing Staff Members shall have ability modify information relating Program of Study within Nursing Department including Program of study name required classes for Program of Study 
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,Program Administrators/Nursing Staff Members shall have ability modify information relating Clinical Site including clinical site name site contact person contact information address 
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,Program Administrators/Nursing Staff Members shall have ability modify information relating Clinical Lab Section including clinical site name department/section for lab class instructor day time of lab contact information 
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,Program Administrators/Nursing Staff Members shall have ability modify information relating Nursing Student including student ID student name phone number e-mail status full time part time program of study 
LF,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,Disputes application shall comply with corporate standards for user interface creation for internally externally used applications 
LF,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,screens created as part of Disputes application must comply with corporate standards for interface creation 
US,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,list of dispute cases are displayed after search is performed must be color coded for easy identification of dispute cases based upon dispute case status 
US,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,% of cardmember merchant services representatives shall use Disputes application regularly after 2-day training course 
US,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,% of cardmember services representatives shall be able successfully create dispute case on first encounter after completing training course 
US,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,% of merchant services representatives shall be able successfully perform follow action on dispute case on first encounter after completing training course 
PE,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,maximum wait time for user navigating from screen within Disputes application shall be no more than seconds 
PE,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,Disputes application shall support concurrent users without degradation of performance in application 
SE,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,Disputes application shall ensure that only users with appropriate access level are allowed initiate dispute requests 
SE,Only users with Update access must be able to initiate dispute requests.,Only users with Update access must be able initiate dispute requests 
SE,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,Disputes application shall ensure that only authorized users are allowed logon application 
SE,All authorized users once authenticated must be able to logon to the Disputes System,authorized users once authenticated must be able logon Disputes System 
SE,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user’s access level. The report will be reviewed for auditing purposes.,Disputes System shall generate User Report that details new users have been added changes existing user ’ s access level report will be reviewed for auditing purposes 
SE,All additions of new users and modifications to user’s access shall be recorded on the User Report.,additions of new users modifications user ’ s access shall be recorded on User Report 
SE,If a user account is revoked it can only be re-instantiated by the System Administrator.,If user account is revoked can only be re-instantiated by System Administrator 
SE,Only the System Administrator shall be able to reset a revoked user logon account,Only System Administrator shall be able reset revoked user logon account 
SE,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,Disputes application shall manipulate view business data Users will not have direct access data files databases 
SE,All updates to data files or database must be initiated from the Disputes System.,updates data files database must be initiated from Disputes System 
L,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,Disputes application must conform legal requirements as specified by Merchant Operating Regulations 
L,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,business rules specified in Disputes System shall be in compliance with Merchant Operating Regulations 
L,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,Disputes application must conform legal requirements as specified by Regulation E Regulation Z that govern credit card disputes processing 
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,business rules specified in Disputes System shall be in compliance guidelines of Regulation E Regulation Z 
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,Disputes application must maintain detailed history of action that user takes on dispute case ensures complete audit trail if questions arise later on with regard particular dispute case 
L,All actions that modify an existing dispute case must be recorded in the case history.,actions modify existing dispute case must be recorded in case history 
F,The Disputes System must be accessible by both internal and external users.,Disputes System must be accessible by internal external users 
F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,Disputes System must prevent users from accessing dispute cases do not belong cardholder base 
F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,Disputes System will facilitate direct data entry of dispute case via user interface supports real time responses users 
F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,Disputes System must provide different levels of access with regard disputes case initiation follow-up actions 
F,The Disputes System shall provide view access capability for authorized users of the application.,Disputes System shall provide view access capability for authorized users of application 
F,The Disputes System shall provide update access capability for authorized users of the application.,Disputes System shall provide update access capability for authorized users of application 
F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,Disputes System must allow users select disputable transactions based on age of transaction from user interface initiate dispute ticket retrieval request chargeback notification on selected transaction 
F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,Disputes System must provide user ability initiate single dispute case on multiple transactions belong single merchant 
F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,Disputes System will provide user ability create initiate ticket retrieval request As part of ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request is document is sent merchant inquiring validity of transaction 
F,The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,Disputes System must allow user create unique types of ticket retrieval requests types of ticket retrieval requests are Request for original receipt Request for copy of receipt Request for portfolio portfolio consists of documentation would provide proof of purchase such as documentation is received from car rental agency is more than sales receipt 
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,Disputes System must prevent external users from requesting original receipts Requests for original receipts are restricted internal users 
F,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,Disputes System must provide confirmation user upon creation of ticket retrieval request contains following information dispute case number type of retrieval requested copy original portfolio date that merchant response is due 
F,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,Disputes System shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request results in printed chargeback notification is sent merchant indicating that account will be charged back if proof is provided that disputed transaction is valid 
F,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,Disputes System must provide confirmation user upon creation of chargeback request confirmation must contain following information dispute case number type of chargeback requested pending immediate date that merchant response is due 
F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,Disputes System shall prevent creation of duplicate dispute requests % of time 
F,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,Disputes System shall accurately provide list of possible reason codes for given transaction list of possible reason codes must be derived based on type of transaction industry that merchant belongs according business rules defined for Disputes System 
F,The Disputes System must provide the ability to view existing dispute cases.,Disputes System must provide ability view existing dispute cases 
F,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,Disputes System must provide Search functionality search method must include ability search by dispute case number merchant account number cardmember account number issuer number In addition above criteria search functionality must further allow user limit results of search by date range type of dispute ticket retrieval request chargeback notification case status open closed dispute reason code 
F,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,list of disputes cases meet entered search criteria must be provided user list of cases must differentiate type and/or status of case by color -coding line item in list For example open cases will be yellow closed cases will be gray 
F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,Disputes System shall provide users ability view history of activities have occurred on dispute case 
F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,Dispute System shall provide users with ability follow on dispute case via follow-up actions list of available follow actions for given dispute case must be filtered by status of case access level of user 
F,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,Disputes System shall record name of user date for activity creates modifies disputes case in system detailed history of actions taken on case including date user performed action must be maintained for auditing purposes 
F,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,For systematic non-user initiated action occurs on case such as disputes aging process case activity will be generated Upon next logon user initiated dispute case must be notified that systematic action has occurred on dispute case 
F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,letter requests must be formatted according guidelines specified by Print Letter Utility system 
F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,disputes cases have been closed for over months must be purged from online disputes database 
LF,The product shall comply with corporate User Interface Guidelines,product shall comply with corporate User Interface Guidelines 
LF,The product shall comply with corporate color scheme,product shall comply with corporate color scheme 
LF,The appearance of the product shall appear professional,appearance of product shall appear professional 
US,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,product shall be easy use by Adjusters Collision Estimators % of Adjusters Collision Estimators shall find product easy use 
US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,product shall increase productivity of Collision Estimators % of Collision Estimators shall agree productivity has increase within month of using product 
US,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,Users shall feel satisfied using product % of users will be satisfied with product 
US,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,product shall be easy learn by Adjusters Collision Estimators product shall be learned with days onsite training 
US,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,user shall easily locate instructions while using product User help can be found within % of system 
PE,The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,search for recycled parts shall take no longer than seconds search results shall be returned in under seconds 
PE,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,search for preferred repair facility shall take no longer than seconds preferred repair facility is returned within seconds 
PE,The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,recycled parts audit report shall be returned user within seconds audit report shall be returned within seconds 
PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,preferred repair facility ratings shall be saved within seconds save shall occur within seconds 
A,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,product shall adhere corporate online availability schedule application is brought only within % of scheduled outages per availability schedule 
A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,product shall achieve % uptime product shall not fail more than % of available online time 
SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,product shall be able handle up simultaneous users system shall perform with users as time 
SC,The average number of recycled parts records per day shall be 50 000.,average number of recycled parts records per day shall be 
